Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT,Confidence
2/18/2020,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.391,84.391,2020,49,-10.04,8.28,-2.11,2.62,58.94,0,3.3,125.62,0.71,0.67,17
4/5/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.62,83.76,2020,96,-1.59,11.05,4.75,5.25,71.75,0.01,2.16,105.44,0.66,0.62,57
4/5/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.618,83.753,2020,96,-1.59,11.05,4.75,5.25,71.75,0.01,2.16,105.44,0.66,0.62,35
4/12/2020,Gandaki,manang,Nashong,3,Annapurna Conservation Area,28.508,84.358,2020,103,-0.62,15.8,8.08,5.49,58.44,0,2.49,94.25,0.64,0.6,55
11/13/2020,Gandaki,Lamjung,Kwholasothar,4,Annapurna Conservation Area,28.394,84.228,2020,318,-2.24,8.21,2.07,3.23,49.38,0,1.92,88,0.71,0.67,69
11/13/2020,Gandaki,Lamjung,Kwholasothar,4,Annapurna Conservation Area,28.403,84.231,2020,318,-2.24,8.21,2.07,3.23,49.38,0,1.92,88,0.71,0.67,33
11/28/2020,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.557,84.278,2020,333,-4.75,12.08,3.69,3.36,47.31,0,2.41,130.56,0.66,0.62,81
11/28/2020,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.559,84.289,2020,333,-4.75,12.08,3.69,3.36,47.31,0,2.41,130.56,0.66,0.62,94
11/28/2020,Gandaki,manang,Chame,3,Annapurna Conservation Area,28.548,84.28,2020,333,-4.75,12.08,3.69,3.36,47.31,0,2.41,130.56,0.66,0.62,55
11/29/2020,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.419,84.064,2020,334,3.01,12.5,6.53,3.91,45.81,0,1.7,158.44,0.66,0.62,20
11/27/2020,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.432,83.942,2020,332,-0.9,9.12,3.09,3.48,53.31,0,1.75,166,0.66,0.62,72
12/14/2020,Gandaki,Lamjung,Kwholasothar,4,Annapurna Conservation Area,28.302,84.281,2020,349,-4.6,3.81,-1.48,3.54,72.88,0,1.63,127.69,0.64,0.6,39
12/14/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.602,83.726,2020,349,-2.05,7.14,1.44,3.97,67.25,0,1.68,88.19,0.62,0.59,90
12/15/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.595,83.701,2020,350,-2.66,7.46,1.13,3.91,71.44,0,1.67,92.56,0.62,0.59,87
12/15/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.591,83.697,2020,350,-2.66,7.46,1.13,3.91,71.44,0,1.67,92.56,0.62,0.59,82
12/15/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.594,83.688,2020,350,-2.66,7.46,1.13,3.91,71.44,0,1.67,92.56,0.62,0.59,80
12/10/2020,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.516,83.758,2020,345,1.05,11.62,5.08,3.11,40.81,0,2.07,270.44,0.62,0.59,48
12/10/2020,Gandaki,Myagdi,Dhorpatan Hunting Reserve,99,Dhorpatan Hunting Reserve,28.539,83.198,2020,345,1.05,11.62,5.08,3.11,40.81,0,2.07,270.44,0.62,0.59,59
12/16/2020,Gandaki,Kaski,Machhapuchchhre,9,Annapurna Conservation Area,28.452,83.884,2020,351,-2.44,7.25,1.15,4.33,77.88,0,2,158.19,0.62,0.59,54
12/24/2020,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.436,84.052,2020,359,-2.35,8.48,2.26,2.32,38.12,0,1.79,231.94,0.59,0.57,80
12/24/2020,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.445,84.053,2020,359,-2.35,8.48,2.26,2.32,38.12,0,1.79,231.94,0.59,0.57,89
12/24/2020,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.444,84.064,2020,359,-2.35,8.48,2.26,2.32,38.12,0,1.79,231.94,0.59,0.57,85
12/24/2020,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.383,84.03,2020,359,-2.35,8.48,2.26,2.32,38.12,0,1.79,231.94,0.59,0.57,12
12/28/2020,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.383,84.053,2020,363,-3.63,5.42,-0.27,2.75,53.81,0,1.61,150.38,0.59,0.56,71
12/28/2020,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.381,84.043,2020,363,-3.63,5.42,-0.27,2.75,53.81,0,1.61,150.38,0.59,0.56,70
12/30/2020,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.557,84.282,2020,365,-3.4,6.25,0.08,2.26,43.38,0,1.67,109.62,0.58,0.56,47
